agency_cd,site_no,datetime,discharge.max,discharge.max.approval,discharge.min,discharge.min.approval,discharge.mean,discharge.mean.approval,gage.height.max,gage.height.max.approval,gage.height.min,gage.height.min.approval,gage.height.mean,gage.height.mean.approval
USGS,2085000,10/1/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/2/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/3/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/4/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/5/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/6/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/7/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/8/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/9/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/10/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/11/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/12/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/13/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/14/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/15/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/16/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/17/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/18/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/19/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/20/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/21/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/22/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/23/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/24/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/25/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/26/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/27/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/28/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/29/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/30/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,10/31/1927,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,11/1/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/2/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/3/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/4/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/5/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/6/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/7/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/8/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/9/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/10/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/11/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/12/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/13/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/14/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/15/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/16/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/17/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/18/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/19/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/20/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/21/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/22/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/23/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/24/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/25/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/26/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/27/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/28/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/29/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,11/30/1927,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,12/1/1927,NA,,NA,,18,A,NA,,NA,,NA,
USGS,2085000,12/2/1927,NA,,NA,,182,A,NA,,NA,,NA,
USGS,2085000,12/3/1927,NA,,NA,,572,A,NA,,NA,,NA,
USGS,2085000,12/4/1927,NA,,NA,,641,A,NA,,NA,,NA,
USGS,2085000,12/5/1927,NA,,NA,,249,A,NA,,NA,,NA,
USGS,2085000,12/6/1927,NA,,NA,,221,A,NA,,NA,,NA,
USGS,2085000,12/7/1927,NA,,NA,,249,A,NA,,NA,,NA,
USGS,2085000,12/8/1927,NA,,NA,,353,A,NA,,NA,,NA,
USGS,2085000,12/9/1927,NA,,NA,,291,A,NA,,NA,,NA,
USGS,2085000,12/10/1927,NA,,NA,,158,A,NA,,NA,,NA,
USGS,2085000,12/11/1927,NA,,NA,,80,A,NA,,NA,,NA,
USGS,2085000,12/12/1927,NA,,NA,,68,A,NA,,NA,,NA,
USGS,2085000,12/13/1927,NA,,NA,,57,A,NA,,NA,,NA,
USGS,2085000,12/14/1927,NA,,NA,,51,A,NA,,NA,,NA,
USGS,2085000,12/15/1927,NA,,NA,,69,A,NA,,NA,,NA,
USGS,2085000,12/16/1927,NA,,NA,,559,A,NA,,NA,,NA,
USGS,2085000,12/17/1927,NA,,NA,,320,A,NA,,NA,,NA,
USGS,2085000,12/18/1927,NA,,NA,,86,A,NA,,NA,,NA,
USGS,2085000,12/19/1927,NA,,NA,,58,A,NA,,NA,,NA,
USGS,2085000,12/20/1927,NA,,NA,,57,A,NA,,NA,,NA,
USGS,2085000,12/21/1927,NA,,NA,,54,A,NA,,NA,,NA,
USGS,2085000,12/22/1927,NA,,NA,,49,A,NA,,NA,,NA,
USGS,2085000,12/23/1927,NA,,NA,,48,A,NA,,NA,,NA,
USGS,2085000,12/24/1927,NA,,NA,,44,A,NA,,NA,,NA,
USGS,2085000,12/25/1927,NA,,NA,,44,A,NA,,NA,,NA,
USGS,2085000,12/26/1927,NA,,NA,,43,A,NA,,NA,,NA,
USGS,2085000,12/27/1927,NA,,NA,,43,A,NA,,NA,,NA,
USGS,2085000,12/28/1927,NA,,NA,,41,A,NA,,NA,,NA,
USGS,2085000,12/29/1927,NA,,NA,,44,A,NA,,NA,,NA,
USGS,2085000,12/30/1927,NA,,NA,,86,A,NA,,NA,,NA,
USGS,2085000,12/31/1927,NA,,NA,,158,A,NA,,NA,,NA,
USGS,2085000,1/1/1928,NA,,NA,,74,A,NA,,NA,,NA,
USGS,2085000,1/2/1928,NA,,NA,,61,A,NA,,NA,,NA,
USGS,2085000,1/3/1928,NA,,NA,,56,A,NA,,NA,,NA,
USGS,2085000,1/4/1928,NA,,NA,,54,A,NA,,NA,,NA,
USGS,2085000,1/5/1928,NA,,NA,,48,A,NA,,NA,,NA,
USGS,2085000,1/6/1928,NA,,NA,,47,A,NA,,NA,,NA,
USGS,2085000,1/7/1928,NA,,NA,,44,A,NA,,NA,,NA,
USGS,2085000,1/8/1928,NA,,NA,,41,A,NA,,NA,,NA,
USGS,2085000,1/9/1928,NA,,NA,,44,A,NA,,NA,,NA,
USGS,2085000,1/10/1928,NA,,NA,,57,A,NA,,NA,,NA,
USGS,2085000,1/11/1928,NA,,NA,,48,A,NA,,NA,,NA,
USGS,2085000,1/12/1928,NA,,NA,,40,A,NA,,NA,,NA,
USGS,2085000,1/13/1928,NA,,NA,,37,A,NA,,NA,,NA,
USGS,2085000,1/14/1928,NA,,NA,,33,A,NA,,NA,,NA,
USGS,2085000,1/15/1928,NA,,NA,,31,A,NA,,NA,,NA,
USGS,2085000,1/16/1928,NA,,NA,,31,A,NA,,NA,,NA,
USGS,2085000,1/17/1928,NA,,NA,,30,A,NA,,NA,,NA,
USGS,2085000,1/18/1928,NA,,NA,,29,A,NA,,NA,,NA,
USGS,2085000,1/19/1928,NA,,NA,,30,A,NA,,NA,,NA,
USGS,2085000,1/20/1928,NA,,NA,,80,A,NA,,NA,,NA,
USGS,2085000,1/21/1928,NA,,NA,,47,A,NA,,NA,,NA,
USGS,2085000,1/22/1928,NA,,NA,,38,A,NA,,NA,,NA,
USGS,2085000,1/23/1928,NA,,NA,,36,A,NA,,NA,,NA,
USGS,2085000,1/24/1928,NA,,NA,,54,A,NA,,NA,,NA,
USGS,2085000,1/25/1928,NA,,NA,,208,A,NA,,NA,,NA,
USGS,2085000,1/26/1928,NA,,NA,,113,A,NA,,NA,,NA,
USGS,2085000,1/27/1928,NA,,NA,,61,A,NA,,NA,,NA,
USGS,2085000,1/28/1928,NA,,NA,,47,A,NA,,NA,,NA,
USGS,2085000,1/29/1928,NA,,NA,,44,A,NA,,NA,,NA,
USGS,2085000,1/30/1928,NA,,NA,,113,A,NA,,NA,,NA,
USGS,2085000,1/31/1928,NA,,NA,,221,A,NA,,NA,,NA,
USGS,2085000,2/1/1928,NA,,NA,,170,A,NA,,NA,,NA,
USGS,2085000,2/2/1928,NA,,NA,,80,A,NA,,NA,,NA,
USGS,2085000,2/3/1928,NA,,NA,,48,A,NA,,NA,,NA,
USGS,2085000,2/4/1928,NA,,NA,,46,A,NA,,NA,,NA,
USGS,2085000,2/5/1928,NA,,NA,,48,A,NA,,NA,,NA,
USGS,2085000,2/6/1928,NA,,NA,,55,A,NA,,NA,,NA,
USGS,2085000,2/7/1928,NA,,NA,,60,A,NA,,NA,,NA,
USGS,2085000,2/8/1928,NA,,NA,,562,A,NA,,NA,,NA,
USGS,2085000,2/9/1928,NA,,NA,,170,A,NA,,NA,,NA,
USGS,2085000,2/10/1928,NA,,NA,,102,A,NA,,NA,,NA,
USGS,2085000,2/11/1928,NA,,NA,,74,A,NA,,NA,,NA,
USGS,2085000,2/12/1928,NA,,NA,,57,A,NA,,NA,,NA,
USGS,2085000,2/13/1928,NA,,NA,,96,A,NA,,NA,,NA,
USGS,2085000,2/14/1928,NA,,NA,,80,A,NA,,NA,,NA,
USGS,2085000,2/15/1928,NA,,NA,,263,A,NA,,NA,,NA,
USGS,2085000,2/16/1928,NA,,NA,,140,A,NA,,NA,,NA,
USGS,2085000,2/17/1928,NA,,NA,,67,A,NA,,NA,,NA,
USGS,2085000,2/18/1928,NA,,NA,,170,A,NA,,NA,,NA,
USGS,2085000,2/19/1928,NA,,NA,,74,A,NA,,NA,,NA,
USGS,2085000,2/20/1928,NA,,NA,,57,A,NA,,NA,,NA,
USGS,2085000,2/21/1928,NA,,NA,,49,A,NA,,NA,,NA,
USGS,2085000,2/22/1928,NA,,NA,,48,A,NA,,NA,,NA,
USGS,2085000,2/23/1928,NA,,NA,,108,A,NA,,NA,,NA,
USGS,2085000,2/24/1928,NA,,NA,,74,A,NA,,NA,,NA,
USGS,2085000,2/25/1928,NA,,NA,,61,A,NA,,NA,,NA,
USGS,2085000,2/26/1928,NA,,NA,,55,A,NA,,NA,,NA,
USGS,2085000,2/27/1928,NA,,NA,,51,A,NA,,NA,,NA,
